No,Product Name,Quantity,Price per Piece (₹),Total Price (₹),Total Price in USB,Note,Link 
1,SOD-123 Switching Diodes ROHS,110,1.43,157.3,1.74,,https://robu.in/product/1n4148w-slkor-75v-1v-4ns-150ma-sod-123-switching-diodes-rohs/
2,Raspberry PI PICO H,1,499,499,5.54,,https://robu.in/product/raspberry-pi-pico-with-headers/
3,0.96 inch Yellow-Blue OLED Display Module,1,156,156,1.73,,https://robu.in/product/0-96-inch-yellow-yellow-blue-oled-lcd-led-display-module/
4,Hongyan EC11H 7CE20P1ZY15F7 5-Pin Vertical Rotary Encoder with Switch,1,55,55,0.61,,https://robu.in/product/hongyan-ec11h-7ce20p1zy15f7-rotary-encoder-with-push-button-switch-vertical-plug-in-5-pin/
5,Kailh Hot-swap Socket,11,72,792,8.79,,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/kailh-hot-swap-socket/?attribute_pa_variations=black
6,Gateron G Pro 3.0 Switch,11,157.5,1732.5,19.22,,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/gateron-g-pro-3-0-switch/
7,PCB,1,3179.25,3179.25,50.46,35.20+15.26(Deliver),https://jlcpcb.com/
8,3D print,1,1346,1346,14.93,,https://robu.in/product/3d-printing-service/?gad_source=1&gad_campaignid=17427803012&gbraid=0AAAAADvLFWce1TGYPk4iF1duZj5NboTcT&gclid=CjwKCAiA95fLBhBPEiwATXUsxCpF28w2xp06MBvxctvXUNON8hQWr-W7Y1cCl5F-RdYkTWKcSANeJRoCprwQAvD_BwE
,,Total,,7917.05,103.01,,
